Country,ActorName,ActorType,AffiliationTo,AffiliationStartDate,AffiliationEndDate,Aliases
Afghanistan,Abdul Latif Pedram,Individual,House of the People,9/18/10,EOT,Abdul Latif Pedram ; Abdul Pedram
Afghanistan,Abdul Latif Pedram,Individual,National Congress Party of Afghanistan,BOT,EOT,Abdul Latif Pedram ; Abdul Pedram
Afghanistan,Abdul Qadir,Individual,Elite (Afghanistan),BOT,EOT,Haji Abdolqadir ; Abdul Qadir Arsala ; Hajji Abdul Qadir Arsala ; Hajji Abdul Qadir ; Haji Abdol Qadir ; Abdul Qadir ; Abdol Qadir ; Haji Abdul Qadir
Afghanistan,Abdul Qadir,Individual,Executive Office (Afghanistan),12/1/01,7/6/02,Haji Abdolqadir ; Abdul Qadir Arsala ; Hajji Abdul Qadir Arsala ; Hajji Abdul Qadir ; Haji Abdol Qadir ; Abdul Qadir ; Abdol Qadir ; Haji Abdul Qadir
Afghanistan,Abdul Qadir,Individual,Government (Afghanistan),4/27/78,4/30/78,Haji Abdolqadir ; Abdul Qadir Arsala ; Hajji Abdul Qadir Arsala ; Hajji Abdul Qadir ; Haji Abdol Qadir ; Abdul Qadir ; Abdol Qadir ; Haji Abdul Qadir
Afghanistan,Abdul Qadir,Individual,Nangarhar Province,12/1/01,7/6/02,Haji Abdolqadir ; Abdul Qadir Arsala ; Hajji Abdul Qadir Arsala ; Hajji Abdul Qadir ; Haji Abdol Qadir ; Abdul Qadir ; Abdol Qadir ; Haji Abdul Qadir
Afghanistan,Abdul Qadir,Individual,Northern Alliance,BOT,11/30/01,Haji Abdolqadir ; Abdul Qadir Arsala ; Hajji Abdul Qadir Arsala ; Hajji Abdul Qadir ; Haji Abdol Qadir ; Abdul Qadir ; Abdol Qadir ; Haji Abdul Qadir
Afghanistan,Abdul Qadir,Individual,Pashtun,BOT,EOT,Haji Abdolqadir ; Abdul Qadir Arsala ; Hajji Abdul Qadir Arsala ; Hajji Abdul Qadir ; Haji Abdol Qadir ; Abdul Qadir ; Abdol Qadir ; Haji Abdul Qadir
Afghanistan,Abdul Qayyum Sajjadi,Individual,Hazara (Ethnic Group),BOT,EOT,Abdul Sajjadi ; Abdul Qayyum Sajjadi
Afghanistan,Abdul Qayyum Sajjadi,Individual,House of the People,12/7/05,EOT,Abdul Sajjadi ; Abdul Qayyum Sajjadi
Afghanistan,Abdul Rab Rasul Sayyaf,Individual,(National) Major Party (Islamic Dawah Organization of Afghanistan),1/1/05,EOT,Abdul Sayyaf ; Abdul Rasul Sayyaf ; Abdul Rab Rasul Sayyaf
Afghanistan,Abdul Rab Rasul Sayyaf,Individual,Grand Assembly,1/1/03,12/31/03,Abdul Sayyaf ; Abdul Rasul Sayyaf ; Abdul Rab Rasul Sayyaf
Afghanistan,Abdul Rab Rasul Sayyaf,Individual,House of the People,1/1/05,EOT,Abdul Sayyaf ; Abdul Rasul Sayyaf ; Abdul Rab Rasul Sayyaf
Afghanistan,Abdul Rab Rasul Sayyaf,Individual,Northern Alliance,BOT,12/31/02,Abdul Sayyaf ; Abdul Rasul Sayyaf ; Abdul Rab Rasul Sayyaf
Afghanistan,Abdul Rahim Ghafoorzai,Individual,Elite (Afghanistan),BOT,EOT,Abdul Rahim Ghafoorzai
Afghanistan,Abdul Rahim Ghafoorzai,Individual,Northern Alliance,8/11/97,8/21/97,Abdul Rahim Ghafoorzai
Afghanistan,Abdul Rahim Hatef,Individual,Elite (Afghanistan),BOT,EOT,Abdul Rahim Hatef ; Abdul Rahim Hatif
Afghanistan,Abdul Rahim Hatef,Individual,Executive Office (Afghanistan),4/16/92,4/28/92,Abdul Rahim Hatef ; Abdul Rahim Hatif
Afghanistan,Abdul Rahim Wardak,Individual,Cabinet (Afghanistan),12/23/04,8/4/12,General Wardak ; Abdul Rahim Wardak
Afghanistan,Abdul Rahim Wardak,Individual,Elite (Afghanistan),1/1/03,EOT,General Wardak ; Abdul Rahim Wardak
Afghanistan,Abdul Rahim Wardak,Individual,Government (Afghanistan),1/1/03,12/22/04,General Wardak ; Abdul Rahim Wardak
Afghanistan,Abdul Rahim Wardak,Individual,Ministry of Defense,12/23/04,8/4/12,General Wardak ; Abdul Rahim Wardak
Afghanistan,Abdul Rahim Wardak,Individual,Northern Alliance,BOT,12/31/02,General Wardak ; Abdul Rahim Wardak
Afghanistan,Abdul Rahim Wardak,Individual,Pashtun,BOT,EOT,General Wardak ; Abdul Rahim Wardak
Afghanistan,Abdul Rahman Sarjang,Individual,Provincial Divisions (Afghanistan),BOT,EOT,Abdul Sarjang ; Abdul Rahman Sarjang
Afghanistan,Abdul Rashid Dostum,Individual,Afghan National Army,12/1/02,5/31/08,Abdorrashid Dostum ; Abdul Dostum ; Abdul Rashid Dostum ; Abdul Rashin Dostum
Afghanistan,Abdul Rashid Dostum,Individual,Afghan National Army,6/1/09,EOT,Abdorrashid Dostum ; Abdul Dostum ; Abdul Rashid Dostum ; Abdul Rashin Dostum
Afghanistan,Abdul Rashid Dostum,Individual,Ministry of Defense,7/1/02,12/1/04,Abdorrashid Dostum ; Abdul Dostum ; Abdul Rashid Dostum ; Abdul Rashin Dostum
Afghanistan,Abdul Rashid Dostum,Individual,National Islamic Movement of Afghanistan,BOT,EOT,Abdorrashid Dostum ; Abdul Dostum ; Abdul Rashid Dostum ; Abdul Rashin Dostum
Afghanistan,Abdul Rashid Dostum,Individual,Northern Alliance,10/1/96,11/30/02,Abdorrashid Dostum ; Abdul Dostum ; Abdul Rashid Dostum ; Abdul Rashin Dostum
Afghanistan,Abdul Rashid Dostum,Individual,Uzbek,BOT,EOT,Abdorrashid Dostum ; Abdul Dostum ; Abdul Rashid Dostum ; Abdul Rashin Dostum
Afghanistan,Abdul Razaq,Individual,Interior / Home Ministry (Afghanistan),BOT,10/6/01,Abdul Razaq ; Mullah Abdur Razzaq
Afghanistan,Abdul Razaq,Individual,Pashtun,BOT,EOT,Abdul Razaq ; Mullah Abdur Razzaq
Afghanistan,Abdul Razaq,Individual,Taliban,BOT,EOT,Abdul Razaq ; Mullah Abdur Razzaq
Afghanistan,Abdul Saboor Allahyar,Individual,Provincial Divisions (Afghanistan),6/1/05,EOT,Abdul Allahyar ; Abdul Saboor Allahyar
Afghanistan,Abdul Sabur Farid Kuhestani,Individual,Elite (Afghanistan),8/15/92,12/31/04,Abdul Sabur Farid Kuhestani ; Abdul Sabur Farid Kohistani ; Abdul Sabur Farid
Afghanistan,Abdul Sabur Farid Kuhestani,Individual,Executive Office (Afghanistan),7/6/92,8/15/92,Abdul Sabur Farid Kuhestani ; Abdul Sabur Farid Kohistani ; Abdul Sabur Farid
Afghanistan,Abdul Sabur Farid Kuhestani,Individual,House of Elders,1/1/05,5/3/07,Abdul Sabur Farid Kuhestani ; Abdul Sabur Farid Kohistani ; Abdul Sabur Farid
Afghanistan,Abdul Salam Zaeef,Individual,Education (Afghanistan),6/1/05,EOT,Abdul Salam Zaeef ; Abdul Zaeef
Afghanistan,Abdul Salam Zaeef,Individual,Elite (Afghanistan),1/1/68,8/31/96,Abdul Salam Zaeef ; Abdul Zaeef
Afghanistan,Abdul Salam Zaeef,Individual,Elite (Afghanistan),6/1/05,EOT,Abdul Salam Zaeef ; Abdul Zaeef
Afghanistan,Abdul Salam Zaeef,Individual,Foreign Ministry (Afghanistan),6/2/00,10/6/01,Abdul Salam Zaeef ; Abdul Zaeef
Afghanistan,Abdul Salam Zaeef,Individual,Taliban,9/1/96,5/31/05,Abdul Salam Zaeef ; Abdul Zaeef
Afghanistan,Abdul Satar Sirat,Individual,Elite (Afghanistan),7/17/73,EOT,Abdul Sirat ; Abdosattar Sirat ; Abdul Satar Sirat
Afghanistan,Abdul Satar Sirat,Individual,Medical / Health (Afghanistan),BOT,EOT,Abdul Sirat ; Abdosattar Sirat ; Abdul Satar Sirat
Afghanistan,Abdul Satar Sirat,Individual,Tajik,BOT,EOT,Abdul Sirat ; Abdosattar Sirat ; Abdul Satar Sirat
Afghanistan,Abdul Sattar Murad,Individual,Kapisa Province,1/1/04,7/31/07,Abdul Murad ; Abdul Sattar Murad
Afghanistan,Abdul Sattar Murad,Individual,Ministry of Foreign Affairs,1/1/02,12/31/03,Abdul Murad ; Abdul Sattar Murad
Afghanistan,Abdul Zahir,Individual,Elite (Afghanistan),1/1/28,6/9/71,Abdul Zahir
Afghanistan,Abdul Zahir,Individual,Elite (Afghanistan),12/12/72,1/1/82,Abdul Zahir
Afghanistan,Abdul Zahir,Individual,Executive Office (Afghanistan),6/9/71,12/12/72,Abdul Zahir
Afghanistan,Abdullah Abdullah,Individual,(National) Major Party (Afghanistan),10/2/01,12/31/09,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Cabinet (Afghanistan),10/2/01,4/20/05,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Coalition for Change and Hope,1/1/10,EOT,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Executive Office (Afghanistan),9/29/14,EOT,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Ministry of Foreign Affairs,10/2/01,4/20/05,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Muslim,BOT,EOT,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Northern Alliance,BOT,10/1/01,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Pashtun,BOT,EOT,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Abdullah Abdullah,Individual,Tajik,BOT,EOT,Dr Abdullah ; Dr. Abdullah ; Dr Abdullah Abdullah ; Dr. Abdullah Abdullah ; Abdullah Abdullah ; Abdollah Abdollah
Afghanistan,Afghan Independent Human Rights Commission,Group,Human Rights NGOs (Afghanistan),12/5/01,EOT,AIHRC ; Afghan Independent Human Rights Commission
Afghanistan,Afghan Islamic Press,Group,Print News (Afghanistan),1/1/82,EOT,Afghan Islamic Press
Afghanistan,Afghan National Army,Group,Military (Afghanistan),BOT,EOT,Afghan National Army ; ANA
Afghanistan,Afghan Social Democratic Party,Group,(National) Minor Party (Afghanistan),BOT,EOT,Afghan Mellat ; Afghan Social Democratic Party
Afghanistan,Afghan Social Democratic Party,Group,Nationalist,BOT,EOT,Afghan Mellat ; Afghan Social Democratic Party
Afghanistan,Afghan Social Democratic Party,Group,Pashtun,BOT,EOT,Afghan Mellat ; Afghan Social Democratic Party
Afghanistan,Afghan Tolo TV,Group,Television Entertainment (Afghanistan),10/1/04,EOT,Afghan Tolo Tv ; Tolu Tv ; Tolo Tv
Afghanistan,Afghan Transitional Administration,Group,Government (Afghanistan),6/1/02,1/1/04,Afghan Transitional Administration
Afghanistan,Afghanistan Interim Authority,Group,Government (Afghanistan),BOT,EOT,Afghanistan Interim Authority
Afghanistan,Afghanistan Investment Support Agency,Group,Finance / Economy / Commerce / Trade Ministry (Afghanistan),BOT,EOT,Afghanistan Investment Support Agency
Afghanistan,Afghanistan Jirga Commision,Group,Foreign Ministry (Afghanistan),2/1/07,EOT,Afghanistan Jirga Commision
Afghanistan,Afghanistan Jirga Commision,Group,Pak-Afghan Jirga Commission,2/9/07,EOT,Afghanistan Jirga Commision
Afghanistan,Afghanistan Liberation Organization,Group,Communist,BOT,EOT,Afghanistan Liberation Organization
Afghanistan,Afghanistan Liberation Organization,Group,Insurgents (Afghanistan),BOT,EOT,Afghanistan Liberation Organization
Afghanistan,Afghanistan Peace Movement,Group,Communist,BOT,EOT,De Afghanistan De Solay Ghorzang Gond ; Afghanistan Peace Movement
Afghanistan,Afghanistan Peace Movement,Group,Opposition Minor Party (Out Of Government) (Afghanistan),1/1/04,EOT,De Afghanistan De Solay Ghorzang Gond ; Afghanistan Peace Movement
Afghanistan,Agency Co-ordinating Body for Afghan Relief,Group,Development NGOs (Afghanistan),8/1/88,EOT,ACBAR ; Agency Co-Ordinating Body For Afghan Relief ; Agency Coordinating Body For Afghan Relief
Afghanistan,Ahmad Jan Akhundzada,Individual,Quetta Shura,10/7/01,EOT,Ahmad Akhundzada ; Maulavi Ahmad Jan ; Mowlawi Ahmad Jan Akhundzada ; Ahmad Jan Akhundzada
Afghanistan,Ahmad Jan Akhundzada,Individual,Taliban,BOT,10/6/01,Ahmad Akhundzada ; Maulavi Ahmad Jan ; Mowlawi Ahmad Jan Akhundzada ; Ahmad Jan Akhundzada
Afghanistan,Ahmad Jan Akhundzada,Individual,Zabul Province,BOT,10/6/01,Ahmad Akhundzada ; Maulavi Ahmad Jan ; Mowlawi Ahmad Jan Akhundzada ; Ahmad Jan Akhundzada
Afghanistan,Ahmad Moshahed,Individual,Foreign Ministry (Afghanistan),BOT,8/31/04,Ahmad Moshahed
Afghanistan,Ahmad Moshahed,Individual,Ministry of Education,9/1/04,12/31/04,Ahmad Moshahed
Afghanistan,Ahmad Sayedi,Individual,Foreign Ministry (Afghanistan),BOT,EOT,Ahmad Saidi ; Ahmad Sa'Idi ; Ahmad Saeedi ; Ahmad Sayedi ; Ahmad Sayidi
Afghanistan,Ahmad Shah Ahmadzai,Individual,Elite (Afghanistan),BOT,EOT,Ahmad Shah Ahmadzai
Afghanistan,Ahmad Shah Ahmadzai,Individual,Exiles (Afghanistan),6/27/96,10/6/01,Ahmad Shah Ahmadzai
Afghanistan,Ahmad Shah Ahmadzai,Individual,Government (Afghanistan),1/1/95,6/26/96,Ahmad Shah Ahmadzai
Afghanistan,Ahmad Shah Khan Asakzai,Individual,House of the People,12/7/05,EOT,Ahmad Asakzai ; Ahmad Shah Khan Asakzai
Afghanistan,Ahmad Shah Khan Asakzai,Individual,Pashtun,BOT,EOT,Ahmad Asakzai ; Ahmad Shah Khan Asakzai
Afghanistan,Ahmad Shah Masood,Individual,Elite (Afghanistan),9/2/53,9/9/01,Ahmad Shah Masud ; Ahmad Shah Masood ; Ahmad Shah Massoud ; Lion Of Panjshir ; Ahmad S. Masud ; Ahmad S. Masood ; Ahmad S. Massoud
Afghanistan,Ahmad Shah Masood,Individual,Jamiat-e Islami,BOT,9/9/01,Ahmad Shah Masud ; Ahmad Shah Masood ; Ahmad Shah Massoud ; Lion Of Panjshir ; Ahmad S. Masud ; Ahmad S. Masood ; Ahmad S. Massoud
Afghanistan,Ahmad Shah Masood,Individual,Ministry of Defense,4/1/92,9/9/01,Ahmad Shah Masud ; Ahmad Shah Masood ; Ahmad Shah Massoud ; Lion Of Panjshir ; Ahmad S. Masud ; Ahmad S. Masood ; Ahmad S. Massoud
Afghanistan,Ahmad Shah Masood,Individual,Northern Alliance,1/1/96,9/9/01,Ahmad Shah Masud ; Ahmad Shah Masood ; Ahmad Shah Massoud ; Lion Of Panjshir ; Ahmad S. Masud ; Ahmad S. Masood ; Ahmad S. Massoud
Afghanistan,Ahmad Wali Karzai,Individual,Elite (Afghanistan),BOT,EOT,Ahmed Karzai ; Ahmed Wali Karzai
Afghanistan,Ahmad Wali Karzai,Individual,Kandahar Provincial Council,1/1/05,EOT,Ahmed Karzai ; Ahmed Wali Karzai
Afghanistan,Ahmad Yussef Nuristani,Individual,Cabinet (Afghanistan),1/1/04,12/31/04,Ahmad Yussef Nuristani ; Ahmad Nuristani
Afghanistan,Ahmad Yussef Nuristani,Individual,Education (Afghanistan),8/25/10,EOT,Ahmad Yussef Nuristani ; Ahmad Nuristani
Afghanistan,Ahmad Yussef Nuristani,Individual,Herat Province,1/18/09,8/24/10,Ahmad Yussef Nuristani ; Ahmad Nuristani
Afghanistan,Ahmad Yussef Nuristani,Individual,Ministry of Defense,1/1/05,1/17/09,Ahmad Yussef Nuristani ; Ahmad Nuristani
Afghanistan,Ahmad Yussef Nuristani,Individual,"Ministry of Irrigation, Water Resources, and Environment",1/1/04,12/31/04,Ahmad Yussef Nuristani ; Ahmad Nuristani
Afghanistan,Ahmad Zia Abdulzai,Individual,Media (Afghanistan),BOT,EOT,Ahmad Zia Abdalzai ; Ahmad Zia Abdolzai ; Ahmad Zia Abdulzai ; Ahmadzia Abdulzai
Afghanistan,Ahmad Zia Abdulzai,Individual,Provincial (Afghanistan),BOT,EOT,Ahmad Zia Abdalzai ; Ahmad Zia Abdolzai ; Ahmad Zia Abdulzai ; Ahmadzia Abdulzai
Afghanistan,Ahmad Zia Massoud,Individual,Elite (Afghanistan),11/1/09,EOT,Ahmad Zia Massoud ; Ahmad Z. Massoud ; Ahmad Zia Masud
Afghanistan,Ahmad Zia Massoud,Individual,Executive Office (Afghanistan),1/1/05,10/31/09,Ahmad Zia Massoud ; Ahmad Z. Massoud ; Ahmad Zia Masud
Afghanistan,Ahmad Zia Massoud,Individual,Jamiat-e Islami,BOT,EOT,Ahmad Zia Massoud ; Ahmad Z. Massoud ; Ahmad Zia Masud
Afghanistan,Ahmad Zia Massoud,Individual,Ministry of Foreign Affairs,12/1/01,7/26/04,Ahmad Zia Massoud ; Ahmad Z. Massoud ; Ahmad Zia Masud
Afghanistan,Ahmad Zia Massoud,Individual,Sunni,BOT,EOT,Ahmad Zia Massoud ; Ahmad Z. Massoud ; Ahmad Zia Masud
Afghanistan,Ahmad Zia Rafat,Individual,Development NGOs (Afghanistan),1/2/05,EOT,Ahmad Rafat ; Ahmad Zia Rafat
Afghanistan,Ahmad Zia Rafat,Individual,Education (Afghanistan),1/2/05,EOT,Ahmad Rafat ; Ahmad Zia Rafat
Afghanistan,Ahmad Zia Rafat,Individual,Elite (Afghanistan),1/1/66,11/30/01,Ahmad Rafat ; Ahmad Zia Rafat
Afghanistan,Ahmad Zia Rafat,Individual,Ministry of Higher Education,12/1/01,1/1/05,Ahmad Rafat ; Ahmad Zia Rafat
Afghanistan,Akhtar Mohammad Osmani,Individual,Taliban,BOT,EOT,Akhtar Mohammad Usmani ; Akhtar Mohammad Osmani ; Akhtar Osmani
Afghanistan,Ali Ahmad Jalili,Individual,Cabinet (Afghanistan),1/28/03,9/27/05,Ali Jalili ; Ali Ahmad Jalili ; Ali Jalali ; Ali Ahmad Jalali
Afghanistan,Ali Ahmad Jalili,Individual,Elite (United States),1/1/06,EOT,Ali Jalili ; Ali Ahmad Jalili ; Ali Jalali ; Ali Ahmad Jalali
Afghanistan,Ali Ahmad Jalili,Individual,Ministry of the Interior,1/28/03,9/27/05,Ali Jalili ; Ali Ahmad Jalili ; Ali Jalali ; Ali Ahmad Jalali
Afghanistan,Ali Ahmad Jalili,Individual,National Defense University,1/1/06,EOT,Ali Jalili ; Ali Ahmad Jalili ; Ali Jalali ; Ali Ahmad Jalali
Afghanistan,Ali Ahmad Jalili,Individual,Pashtun,BOT,EOT,Ali Jalili ; Ali Ahmad Jalili ; Ali Jalali ; Ali Ahmad Jalali
Afghanistan,Ali Akbar Qasimi,Individual,Hazara (Ethnic Group),BOT,EOT,Ali Akbar Qasimi ; Ali Qasimi
Afghanistan,Ali Akbar Qasimi,Individual,Hezbe Wahdat,BOT,EOT,Ali Akbar Qasimi ; Ali Qasimi
Afghanistan,Ali Akbar Qasimi,Individual,House of the People,12/7/05,EOT,Ali Akbar Qasimi ; Ali Qasimi
Afghanistan,Amanullah Khan Zadran,Individual,Cabinet (Afghanistan),12/1/01,6/1/02,Amanullah Zadran ; Amanullah Khan Zadran
Afghanistan,Amanullah Khan Zadran,Individual,"Ministry of Frontiers, Nations, and Tribal Affairs",12/1/01,6/1/02,Amanullah Zadran ; Amanullah Khan Zadran
Afghanistan,Amanullah Khan Zadran,Individual,Taliban,BOT,11/30/01,Amanullah Zadran ; Amanullah Khan Zadran
Afghanistan,Ameer Lali,Individual,House of the People,12/7/05,EOT,Ameer Lali
Afghanistan,Ameer Lali,Individual,Pashtun,BOT,EOT,Ameer Lali
Afghanistan,Amin Fatemi,Individual,Cabinet (Afghanistan),1/1/04,EOT,Amin Fatemi ; Amin Fatimi
Afghanistan,Amin Fatemi,Individual,Elite (Afghanistan),1/1/52,EOT,Amin Fatemi ; Amin Fatimi
Afghanistan,Amin Fatemi,Individual,Ministry of Public Health,1/1/04,EOT,Amin Fatemi ; Amin Fatimi
Afghanistan,Amin Fatemi,Individual,World Health Organization,BOT,12/31/03,Amin Fatemi ; Amin Fatimi
Afghanistan,Amir Khan Motaqi,Individual,Ministry of Information and Culture,1/1/97,10/1/99,Amir Motaqi ; Amir Khan Motaqi
Afghanistan,Amir Khan Motaqi,Individual,Taliban,BOT,EOT,Amir Motaqi ; Amir Khan Motaqi
Afghanistan,Amir Khan Sabri,Individual,Hizb-e Islami,BOT,EOT,Amir Khan Sabri ; Amir Sabri
Afghanistan,Amir Khan Sabri,Individual,House of the People,12/7/05,EOT,Amir Khan Sabri ; Amir Sabri
Afghanistan,Amir Khan Sabri,Individual,Legislature Communications Committee,12/7/05,EOT,Amir Khan Sabri ; Amir Sabri
Afghanistan,Amir Khan Sabri,Individual,Pashtun,BOT,EOT,Amir Khan Sabri ; Amir Sabri
Afghanistan,Amir Shah Hasanyar,Individual,Cabinet (Afghanistan),1/1/04,12/31/06,Amir Hasanyar ; Amir Shah Hasanyar
Afghanistan,Amir Shah Hasanyar,Individual,Elite (Afghanistan),BOT,EOT,Amir Hasanyar ; Amir Shah Hasanyar
Afghanistan,Amir Shah Hasanyar,Individual,Ministry of Higher Education,1/1/04,12/31/06,Amir Hasanyar ; Amir Shah Hasanyar
Afghanistan,Amrullah Saleh,Individual,Human Rights NGOs (Afghanistan),6/7/10,EOT,Amrullah Saleh
Afghanistan,Amrullah Saleh,Individual,National Directorate of Security,10/7/01,2/1/04,Amrullah Saleh
Afghanistan,Amrullah Saleh,Individual,National Directorate of Security,2/2/04,6/6/10,Amrullah Saleh
Afghanistan,Amrullah Saleh,Individual,Northern Alliance,1/1/97,10/6/01,Amrullah Saleh
Afghanistan,Anis Daily,Group,State Media (Afghanistan),BOT,EOT,Anis Daily
Afghanistan,Anwar ul-Haq Ahady,Individual,Afghan Social Democratic Party,BOT,EOT,Anwar Ul-Haq Ahady ; Anwarul Haq Ahadi ; Anwar Ahady
Afghanistan,Anwar ul-Haq Ahady,Individual,Cabinet (Afghanistan),12/31/04,EOT,Anwar Ul-Haq Ahady ; Anwarul Haq Ahadi ; Anwar Ahady
Afghanistan,Anwar ul-Haq Ahady,Individual,Elite (Afghanistan),8/12/51,EOT,Anwar Ul-Haq Ahady ; Anwarul Haq Ahadi ; Anwar Ahady
Afghanistan,Anwar ul-Haq Ahady,Individual,Ministry of Finance,12/31/04,2/5/09,Anwar Ul-Haq Ahady ; Anwarul Haq Ahadi ; Anwar Ahady
Afghanistan,Anwar ul-Haq Ahady,Individual,Ministry of Transportation and Commerce,2/6/09,EOT,Anwar Ul-Haq Ahady ; Anwarul Haq Ahadi ; Anwar Ahady
Afghanistan,Anwar ul-Haq Ahady,Individual,The Afghanistan Bank,12/31/01,12/30/04,Anwar Ul-Haq Ahady ; Anwarul Haq Ahadi ; Anwar Ahady
Afghanistan,Ariana TV,Group,Television Entertainment (Afghanistan),BOT,EOT,Ariana Tv
Afghanistan,Arsala Jamal,Individual,Development NGOs (Afghanistan),BOT,7/31/06,Arsala Jamal
Afghanistan,Arsala Jamal,Individual,Khost Province,8/1/06,EOT,Arsala Jamal
Afghanistan,Arsala Rahmani,Individual,Elite (Afghanistan),BOT,5/13/12,Arsala Rahmani ; Arsala Rahmani Daulat ; Arsalan Rahmani Daulat
Afghanistan,Arsala Rahmani,Individual,Government (Afghanistan),11/1/94,1/1/95,Arsala Rahmani ; Arsala Rahmani Daulat ; Arsalan Rahmani Daulat
Afghanistan,Arsala Rahmani,Individual,High Peace Council,9/1/10,7/16/11,Arsala Rahmani ; Arsala Rahmani Daulat ; Arsalan Rahmani Daulat
