OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
MAP3K8,NFKB1,Two-hybrid
RELA,FOS,Two-hybrid
RELA,PIAS3,Two-hybrid
RELA,RNF25,Two-hybrid
RELA,PPP1R13L,Two-hybrid
HNRNPA1,FEN1,Two-hybrid
NOP2,MCRS1,Two-hybrid
ETS1,DAXX,Two-hybrid
PLXNA1,AKT1,Two-hybrid
AKT2,APPL1,Two-hybrid
ETS2,CDK10,Two-hybrid
SHANK2,CTTN,Two-hybrid
CTTN,WIPF1,Two-hybrid
CSF1R,SOCS1,Two-hybrid
SNW1,SKI,Two-hybrid
NRAS,RAP1GDS1,Two-hybrid
GLMN,MET,Two-hybrid
KDM5B,FOXG1,Two-hybrid
VAV1,EZH2,Two-hybrid
REL,PPP4C,Two-hybrid
FLT1,SHC1,Two-hybrid
OPRD1,GPRASP1,Two-hybrid
MYO1C,CBL,Two-hybrid
PDE6D,RHOB,Two-hybrid
PDE6D,RHOA,Two-hybrid
RAP1GDS1,RHOA,Two-hybrid
PAX5,TLE4,Two-hybrid
KDM5B,PAX9,Two-hybrid
KALRN,PAM,Two-hybrid
NRBF2,PPARA,Two-hybrid
PIK3R3,PIK3CA,Two-hybrid
APOA1,PDE1A,Two-hybrid
LSM8,PGD,Two-hybrid
SNX17,SELP,Two-hybrid
PKD1,PKD2,Two-hybrid
PKD2,PKD2,Two-hybrid
PKD2,TRPC1,Two-hybrid
KCNA4,DLG1,Two-hybrid
PFN2,FHOD1,Two-hybrid
HUS1,PCNA,Two-hybrid
PTPRB,MAGI3,Two-hybrid
PRKAR1A,PRKAR1B,Two-hybrid
PRKAR1B,AKAP1,Two-hybrid
FER,TMF1,Two-hybrid
MAPK1,NEK2,Two-hybrid
HABP4,GNB2L1,Two-hybrid
NSMAF,GNB2L1,Two-hybrid
AR,GNB2L1,Two-hybrid
ITGB2,GNB2L1,Two-hybrid
GNB2L1,HABP4,Two-hybrid
PDPK1,PRKCZ,Two-hybrid
WWC1,PRKCZ,Two-hybrid
EP300,MAF,Two-hybrid
ARHGDIG,RHOG,Two-hybrid
CD2AP,RAB4A,Two-hybrid
RABEP1,RAB5A,Two-hybrid
RIN3,RAB5B,Two-hybrid
PDE6D,RAP1A,Two-hybrid
RAP1GDS1,RAP1A,Two-hybrid
KRIT1,RAP1A,Two-hybrid
RGL2,RAP1B,Two-hybrid
PDE6D,RAP2B,Two-hybrid
EXOC8,RALA,Two-hybrid
BRCA2,RAD51,Two-hybrid
RAD51,RAD51AP1,Two-hybrid
DMC1,RAD51,Two-hybrid
RPA1,ORC2,Two-hybrid
RPA2,ORC2,Two-hybrid
HBP1,RB1,Two-hybrid
RB1,TRAP1,Two-hybrid
AATF,RB1,Two-hybrid
RB1,THOC1,Two-hybrid
HBP1,RBL2,Two-hybrid
RXRA,BRD8,Two-hybrid
NRBF2,RXRA,Two-hybrid
ANK1,RHAG,Two-hybrid
LMO2,KDM5A,Two-hybrid
LMO2,LMO2,Two-hybrid
TAL1,LMO2,Two-hybrid
UPF2,RPS25,Two-hybrid
RPLP1,RPLP2,Two-hybrid
RPLP2,RPLP2,Two-hybrid
CYTH1,ARFRP1,Two-hybrid
TOP3B,SNRPB,Two-hybrid
SNRPA,SNRPA,Two-hybrid
PDZK1,SLC9A3,Two-hybrid
PDZK1,SLC17A1,Two-hybrid
ANK1,OBSCN,Two-hybrid
SOX9,NR5A1,Two-hybrid
NR5A1,NRIP1,Two-hybrid
NR5A1,NRIP1,Two-hybrid
CLU,CLU,Two-hybrid
CLU,TGFBR2,Two-hybrid
UNC13B,STX1A,Two-hybrid
CD27,SIVA1,Two-hybrid
FKBP1A,TGFBR1,Two-hybrid
YY1,FKBP1A,Two-hybrid
FKBP2,ARFGEF1,Two-hybrid
TAL1,NCAPG2,Two-hybrid
TXN,NCF4,Two-hybrid
PRKAR1A,AKAP1,Two-hybrid
MYO7A,PRKAR1A,Two-hybrid
PRKAR1A,AKAP10,Two-hybrid
TCAP,TTN,Two-hybrid
APBB1,TFCP2,Two-hybrid
CEBPZ,NFYB,Two-hybrid
ZEB1,DRAP1,Two-hybrid
ZEB1,KAT5,Two-hybrid
NDN,E2F1,Two-hybrid
ATM,ABL1,Two-hybrid
NTRK1,ABL1,Two-hybrid
RAP1GDS1,HRAS,Two-hybrid
HSH2D,FES,Two-hybrid
RAP1GDS1,KRAS,Two-hybrid
SRC,EPHB2,Two-hybrid
TGFBR1,TGFBR2,Two-hybrid
TNNC1,TNNT1,Two-hybrid
TNFAIP3,TAX1BP1,Two-hybrid
TP53,WWOX,Two-hybrid
TP53,CDC14A,Two-hybrid
TNFRSF1A,PSMD2,Two-hybrid
TNFRSF1A,PSMD2,Two-hybrid
KDR,SHC2,Two-hybrid
DDR2,SHC1,Two-hybrid
CDH1,CTNND1,Two-hybrid
CDH1,CBLL1,Two-hybrid
ITGA1,BIN1,Two-hybrid
ITGA4,EED,Two-hybrid
FLI1,GATA1,Two-hybrid
VHL,FLNA,Two-hybrid
VHL,FLNA,Two-hybrid
VHL,VBP1,Two-hybrid
VHL,JADE1,Two-hybrid
XRCC1,LIG3,Two-hybrid
XRCC1,PNKP,Two-hybrid
ZNF24,ZNF174,Two-hybrid
ZNF10,TRIM28,Two-hybrid
ZNF10,TRIM24,Two-hybrid
COG5,MEFV,Two-hybrid
MYO7A,VEZT,Two-hybrid
XPA,RPA4,Two-hybrid
XPC,RAD23A,Two-hybrid
FLNA,CMIP,Two-hybrid
AR,FLNA,Two-hybrid
FLNA,TRIO,Two-hybrid
FLNA,CASR,Two-hybrid
HCFC1,GABPA,Two-hybrid
AGTR2,MTUS1,Two-hybrid
RANBP9,USP11,Two-hybrid
SFPQ,NONO,Two-hybrid
PDPK1,PRKCI,Two-hybrid
BMX,PTPN21,Two-hybrid
BYSL,TRO,Two-hybrid
CITED1,SMAD4,Two-hybrid
MYPN,ACTN3,Two-hybrid
TBR1,CASK,Two-hybrid
ID1,CASK,Two-hybrid
LRP2,DLG3,Two-hybrid
ERBB4,DLG3,Two-hybrid
NCS1,IL1RAPL1,Two-hybrid
ARHGEF11,PLXNB3,Two-hybrid
UNC5A,MAGED1,Two-hybrid
LRPPRC,UXT,Two-hybrid
CBX5,SUV39H1,Two-hybrid
UBE3A,UBQLN2,Two-hybrid
RAB9A,RABEPK,Two-hybrid
CTBP2,KLF8,Two-hybrid
UPF3B,TTC19,Two-hybrid
UPF3B,UPF2,Two-hybrid
UPF3B,MCRS1,Two-hybrid
VDAC1,DYNLT3,Two-hybrid
NXF3,XPO1,Two-hybrid
CDC6,PPP2R3B,Two-hybrid
TIMM8A,STAM,Two-hybrid
SH3GL3,SH3KBP1,Two-hybrid
DTNA,DMD,Two-hybrid
TRIP10,WAS,Two-hybrid
GPHN,ARHGEF9,Two-hybrid
PQBP1,TXNL4A,Two-hybrid
PQBP1,WBP11,Two-hybrid
GATA1,ZFPM2,Two-hybrid
F8,PHYH,Two-hybrid
SH2D1A,SLAMF1,Two-hybrid
FMR1,UBE2I,Two-hybrid
FXR1,FMR1,Two-hybrid
FMR1,NUFIP1,Two-hybrid
MSN,TSC1,Two-hybrid
ARAF,ASS1,Two-hybrid
MAP2K2,ARAF,Two-hybrid
ARAF,COPS3,Two-hybrid
POLA1,RBMS1,Two-hybrid
RPGR,RPGRIP1,Two-hybrid
RPGR,PDE6D,Two-hybrid
HTR2C,MPDZ,Two-hybrid
HTR2C,MPDZ,Two-hybrid
SYP,AP1G1,Two-hybrid
TAF1,UBTF,Two-hybrid
AR,RAN,Two-hybrid
AR,NR2C2,Two-hybrid
AR,NCOA3,Two-hybrid
AR,RNF4,Two-hybrid
AR,RNF4,Two-hybrid
AR,NCOA4,Two-hybrid
AR,NCOA4,Two-hybrid
AR,PAK6,Two-hybrid
RANBP9,AR,Two-hybrid
AR,RCHY1,Two-hybrid
AR,PIAS2,Two-hybrid
AR,PIAS2,Two-hybrid
BPY2,UBE3A,Two-hybrid
SORBS1,INSM1,Two-hybrid
YAF2,YY1,Two-hybrid
CBX3,LBR,Two-hybrid
CBX5,LBR,Two-hybrid
MAPK8IP3,KLC1,Two-hybrid
ERBB4,SNTB2,Two-hybrid
BCL2L1,AVEN,Two-hybrid
BCL2L1,BNIP3,Two-hybrid
BCL2L1,RTN1,Two-hybrid
BCL2L1,RTN4,Two-hybrid
BAX,BCL2A1,Two-hybrid
ABCA1,FADD,Two-hybrid
LRP2,MAGI1,Two-hybrid
ANKRA2,LRP2,Two-hybrid
LRP2,LRP2BP,Two-hybrid
LRP2,DAB2,Two-hybrid
LRP2,DLG2,Two-hybrid
TAF13,TBP,Two-hybrid
PTPN12,PSTPIP1,Two-hybrid
PTPN12,SHC1,Two-hybrid
PTPN12,PXN,Two-hybrid
TUFT1,TFIP11,Two-hybrid
PDE4DIP,PDE4D,Two-hybrid
CREBBP,HNF4A,Two-hybrid
CREBBP,NFE2L2,Two-hybrid
CREBBP,TDG,Two-hybrid
CREBBP,AIRE,Two-hybrid
AP1B1,AP1G1,Two-hybrid
PPP1R9B,CDKN2A,Two-hybrid
JAK3,TIAF1,Two-hybrid
JAK3,STAT5A,Two-hybrid
EIF5A,RPL5,Two-hybrid
PTRH2,AES,Two-hybrid
TLE1,HES6,Two-hybrid
TLE1,FOXA2,Two-hybrid
IL6ST,TLE1,Two-hybrid
EPS8,DVL1,Two-hybrid
FASN,FASN,Two-hybrid
TOP3B,CENPF,Two-hybrid
CENPF,CENPF,Two-hybrid
UPF1,HIRA,Two-hybrid
NFU1,HIRA,Two-hybrid
PKN2,PTPN13,Two-hybrid
PKP4,DSC3,Two-hybrid
ATXN1,COIL,Two-hybrid
PEX16,PEX19,Two-hybrid
NDN,NUBP1,Two-hybrid
ZNHIT3,HNF4A,Two-hybrid
IARS,GARS,Two-hybrid
HTRA2,MAPK14,Two-hybrid
DUSP10,MAPK14,Two-hybrid
BBS4,PCM1,Two-hybrid
BCAR1,RAPGEF1,Two-hybrid
LSM1,PSMB5,Two-hybrid
RANBP9,S100A7,Two-hybrid
TRAIP,FLII,Two-hybrid
CSTF2,SUB1,Two-hybrid
CSTF1,BARD1,Two-hybrid
CSTF1,BARD1,Two-hybrid
XRCC2,RAD51D,Two-hybrid
MSC,ID2,Two-hybrid
ID2,TCF12,Two-hybrid
TCF4,ID2,Two-hybrid
PEX12,PEX5,Two-hybrid
PEX12,PEX5,Two-hybrid
PEX13,PEX5,Two-hybrid
ARFIP2,ARF6,Two-hybrid
NCBP2,NCBP1,Two-hybrid
PMF1,NFE2L2,Two-hybrid
EIF2AK3,NFE2L2,Two-hybrid
LSM8,IGHMBP2,Two-hybrid
DLG4,KCNJ4,Two-hybrid
NCK1,EPHB1,Two-hybrid
MINK1,NCK1,Two-hybrid
RECQL,KPNA4,Two-hybrid
RECQL,KPNA2,Two-hybrid
ERBB4,DLG4,Two-hybrid
ERBB4,YAP1,Two-hybrid
ERBB4,DLG2,Two-hybrid
PIAS1,STAT1,Two-hybrid
MAPKAPK2,SHC1,Two-hybrid
S100P,S100P,Two-hybrid
DLG4,KCNJ2,Two-hybrid
LY9,AP2M1,Two-hybrid
PPP1R9B,TIAM1,Two-hybrid
PTBP1,HNRNPL,Two-hybrid
IFI35,NMI,Two-hybrid
SYN2,SYN2,Two-hybrid
PSEN2,KCNIP3,Two-hybrid
TTF1,PTRF,Two-hybrid
CDKN1B,NUP50,Two-hybrid
LIMK1,BMPR2,Two-hybrid
FXR1,CYFIP2,Two-hybrid
INPPL1,SORBS1,Two-hybrid
NCOR2,SPEN,Two-hybrid
NCOR2,ZBTB16,Two-hybrid
CDKN1C,LIMK1,Two-hybrid
UGCG,RTN1,Two-hybrid
SERPINH1,UBQLN4,Two-hybrid
NEUROD1,HAP1,Two-hybrid
HAP1,DCTN1,Two-hybrid
HAP1,HGS,Two-hybrid
COPB1,COPG1,Two-hybrid
COPB1,COPG2,Two-hybrid
MYO6,DAB2,Two-hybrid
MYO6,DAB2,Two-hybrid
DCP1A,SMAD4,Two-hybrid
BPTF,MAZ,Two-hybrid
F11R,TJP1,Two-hybrid
ADAM17,DLG1,Two-hybrid
DHDDS,NPC2,Two-hybrid
ARHGEF11,PLXNB1,Two-hybrid
BOK,BCL2A1,Two-hybrid
BCL2A1,BAD,Two-hybrid
LSM6,SNRPD2,Two-hybrid
LSM7,SNRPD3,Two-hybrid
LSM3,SNRPD3,Two-hybrid
LSM8,SNRPD1,Two-hybrid
PDZK1,ABCC2,Two-hybrid
CADM1,MPP3,Two-hybrid
MPP6,THOP1,Two-hybrid
DUSP10,MAPK8,Two-hybrid
CSPG4,GRIP2,Two-hybrid
RAN,RANBP1,Two-hybrid
CDC6,ORC2,Two-hybrid
ORC2,DBF4,Two-hybrid
CDC45,ORC2,Two-hybrid
TGFB1I1,PTK2B,Two-hybrid
TGFB1I1,PTK2B,Two-hybrid
UBQLN1,MTOR,Two-hybrid
ITGA3,BIN1,Two-hybrid
BIN1,SNX4,Two-hybrid
YWHAZ,BCAR1,Two-hybrid
BMPR1A,SF3B4,Two-hybrid
PKD1,RGS7,Two-hybrid
HNRNPD,LSM5,Two-hybrid
HECW1,DVL1,Two-hybrid
VPS37A,TSG101,Two-hybrid
KAT5,ETV6,Two-hybrid
MYBL2,ZNF622,Two-hybrid
CACYBP,SKP1,Two-hybrid
MAD2L1,ESR2,Two-hybrid
PPARG,NCOA4,Two-hybrid
BAG1,HSPA8,Two-hybrid
PPP1R15A,BAG1,Two-hybrid
GRB10,GIGYF2,Two-hybrid
PROX1,EP300,Two-hybrid
ATXN1,UBQLN4,Two-hybrid
ATXN1,ANP32A,Two-hybrid
ATXN1,USP7,Two-hybrid
EZH2,EED,Two-hybrid
KHDRBS1,RAPSN,Two-hybrid
CITED2,TFAP2C,Two-hybrid
RIT1,RALGDS,Two-hybrid
MRAS,RALGDS,Two-hybrid
PGR,UBE3A,Two-hybrid
RAD23A,PSMD4,Two-hybrid
RAD23B,PSMD4,Two-hybrid
LSM8,GTF2I,Two-hybrid
THRB,PSMC5,Two-hybrid
TRAIP,TRAF1,Two-hybrid
HIVEP3,TRAF1,Two-hybrid
XRN1,SMARCD2,Two-hybrid
RNF7,CUL5,Two-hybrid
TRIM28,SETDB1,Two-hybrid
PEX7,PHYH,Two-hybrid
PEX12,PEX10,Two-hybrid
PEX12,PEX10,Two-hybrid
SP3,STK19,Two-hybrid
MCM6,MCM6,Two-hybrid
RFXAP,RFX5,Two-hybrid
HIVEP3,TRAF2,Two-hybrid
TRAIP,TRAF2,Two-hybrid
ORC1,CDC7,Two-hybrid
BCL2L2,BCL2L11,Two-hybrid
STAP2,PTK6,Two-hybrid
EXOSC6,PSMB1,Two-hybrid
DCP2,PSMB1,Two-hybrid
IL16,PPP1R12A,Two-hybrid
RING1,CBX4,Two-hybrid
DOCK8,RAC1,Two-hybrid
RAC1,RAP1GDS1,Two-hybrid
RAC1,ARFIP2,Two-hybrid
RAC2,CUL1,Two-hybrid
LSM8,TALDO1,Two-hybrid
TRPV1,SYT9,Two-hybrid
TACC1,YEATS4,Two-hybrid
PRMT5,CLNS1A,Two-hybrid
RFWD2,SIPA1,Two-hybrid
SIAH1,KIF22,Two-hybrid
PEG10,SIAH1,Two-hybrid
SIAH1,CACYBP,Two-hybrid
PEG10,SIAH2,Two-hybrid
ATXN7,CRX,Two-hybrid
NEDD4,UBE2D2,Two-hybrid
TTF2,DRAP1,Two-hybrid
ILK,ILKAP,Two-hybrid
ILK,LIMS1,Two-hybrid
DNM2,SHANK1,Two-hybrid
DNM2,SHANK2,Two-hybrid
BLMH,UBE2I,Two-hybrid
PPP2R5D,HAND2,Two-hybrid
HAND2,COPS5,Two-hybrid
CFTR,GOPC,Two-hybrid
SLBP,ERI1,Two-hybrid
SCAMP1,ITSN1,Two-hybrid
IPCEF1,CYTH2,Two-hybrid
NRIP1,NR0B1,Two-hybrid
HEXIM1,CCNT1,Two-hybrid
RGS4,COPB2,Two-hybrid
MAP3K3,MAP2K5,Two-hybrid
SNAP23,SNAPIN,Two-hybrid
NPAS4,ARNTL,Two-hybrid
RANBP3,XPO1,Two-hybrid
GOLGA2,GORASP2,Two-hybrid
MAGOH,RBM8A,Two-hybrid
ASIC3,MAGI1,Two-hybrid
IL1RAP,TOLLIP,Two-hybrid
FHL2,SFPQ,Two-hybrid
PPP1R8,EED,Two-hybrid
UPF2,EIF4A1,Two-hybrid
PDE6D,RND1,Two-hybrid
ARHGAP5,RND3,Two-hybrid
HNRNPAB,TP63,Two-hybrid
NR1H4,NCOA1,Two-hybrid
MCM3,MCM5,Two-hybrid
MCM3,CDC45,Two-hybrid
MCM3,DBF4,Two-hybrid
MCM3,ORC5,Two-hybrid
MCM3,ORC4,Two-hybrid
MCM5,CDC7,Two-hybrid
EP300,CITED2,Two-hybrid
EP300,CITED2,Two-hybrid
APBA2,CLSTN1,Two-hybrid
FYB,SKAP1,Two-hybrid
PRKAB1,PRKAG1,Two-hybrid
PRKAB1,PRKAG2,Two-hybrid
PRKAB2,PRKAG1,Two-hybrid
PRKAB2,PRKAG2,Two-hybrid
PRKAG1,PRKAG2,Two-hybrid
RGPD5,TNPO1,Two-hybrid
DNMT3A,UBE2I,Two-hybrid
THRB,BRD8,Two-hybrid
RNF4,PATZ1,Two-hybrid
TTF2,CDC5L,Two-hybrid
PPL,KAZN,Two-hybrid
SAFB,SAFB2,Two-hybrid
MAPK8IP3,MAPK10,Two-hybrid
MAPK10,MAPK8IP3,Two-hybrid
MAPK11,HDAC3,Two-hybrid
PIAS4,SMAD7,Two-hybrid
TRIP6,LPAR2,Two-hybrid
LHX2,CITED2,Two-hybrid
E2F6,RYBP,Two-hybrid
POLE2,SAP18,Two-hybrid
BTG1,PRMT1,Two-hybrid
BTG1,PRMT1,Two-hybrid
RNF216,TLR3,Two-hybrid
RNF216,TLR4,Two-hybrid
RNF216,TLR5,Two-hybrid
ENAH,ABI1,Two-hybrid
SLC31A1,SLC31A1,Two-hybrid
SRSF7,DUSP11,Two-hybrid
DUSP11,SRSF9,Two-hybrid
NEDD9,SMAD3,Two-hybrid
RNF7,CUL1,Two-hybrid
SRRM2,PNN,Two-hybrid
MCL1,BAD,Two-hybrid
DAXX,MCRS1,Two-hybrid
MVD,BTAF1,Two-hybrid
FANCA,SMARCA4,Two-hybrid
XRN1,CHD4,Two-hybrid
ARHGEF7,SHANK2,Two-hybrid
FNBP1,TNKS,Two-hybrid
BIRC5,AURKB,Two-hybrid
TNFRSF25,TRADD,Two-hybrid
XRN1,PABPC4,Two-hybrid
ITGA3,RABIF,Two-hybrid
RIPK3,RIPK1,Two-hybrid
LSM7,MYH13,Two-hybrid
MALT1,BCL10,Two-hybrid
C9orf89,BCL10,Two-hybrid
AP1S1,AP1G2,Two-hybrid
AP1S1,AP1G1,Two-hybrid
AP1S2,AP1G1,Two-hybrid
AP1S2,AP1G2,Two-hybrid
XRN1,AP1G2,Two-hybrid
VAMP4,AP1M1,Two-hybrid
MBD2,GPN1,Two-hybrid
MBD3L1,MBD3,Two-hybrid
TOP3B,CHD8,Two-hybrid
RABEP1,HUNK,Two-hybrid
UBOX5,UBE2L3,Two-hybrid
HIC1,HIC1,Two-hybrid
PDZK1,SLC22A4,Two-hybrid
PDZK1,AKAP10,Two-hybrid
PDZK1IP1,PDZK1,Two-hybrid
PDZK1IP1,PDZK1,Two-hybrid
PDZK1,SLC22A12,Two-hybrid
DNM1L,GSK3B,Two-hybrid
HEXIM1,CCNT2,Two-hybrid
RNF7,CUL4A,Two-hybrid
RNF7,CUL2,Two-hybrid
RAB27A,SYTL4,Two-hybrid
BYSL,TROAP,Two-hybrid
RGS6,DMAP1,Two-hybrid
ZNF174,ZNF174,Two-hybrid
MPP6,EIF3G,Two-hybrid
TACC3,AKAP9,Two-hybrid
FNBP1,AKAP9,Two-hybrid
DIS3,ZBTB17,Two-hybrid
PLCB2,TRPM7,Two-hybrid
PKP4,ERBB2IP,Two-hybrid
